Name,IATA,ICAO,Country,Active
Aerotransportes Huitzilin,,HUT,Mexico,N
Aero Transportes Del Humaya,,HUY,Mexico,N
Argosy Airways,,ARY,United States,N
Air Resorts,,ARZ,United States,N
Alaska Airlines,AS,ASA,ALASKA,Y
Air-Spray 1967 Ltd.,,ASB,Canada,N
Air Star Corporation,,ASC,Canada,N
Air Sinai,4D,ASD,Egypt,Y
Airstars,PL,ASE,Russia,N
Air Schefferville,,ASF,SCHEFF,N
African Star Airways (PTY) Ltd.,,ASG,South Africa,N
Aerosun International,,ASI,AEROSUN,N
Air Satellite,,ASJ,Canada,N
Awesome Flight Services (PTY) Ltd.,,ASM,South Africa,N
Air and Sea Transport,,ASN,Russia,N
Aero Slovakia,,ASO,Slovakia,N
Airsprint,,ASP,Canada,N
Atlantic Southeast Airlines,EV,ASQ,United States,Y
All Star Airlines,,ASR,ALL STAR,N
Air Class,,ASS,AIR CLASS,N
Aerlineas Del Oeste,,AST,Mexico,N
Aviones Are,,NRE,Mexico,N
Air Nepal International,,NPL,Nepal,N
Air Napier,,NPR,New Zealand,N
Air Taxi & Cargo,,WAM,Sudan,N
Arrow Panama,,WAP,Panama,N
Astravia-Bissau Air Transports Ltd.,,ASV,Guinea-Bissau,N
Astrakhan Airlines,OB,ASZ,Russia,Y
Air Transport Association,,ATA,United States,N
Atlantair Ltd.,,ATB,Canada,N
Air Tanzania,TC,ATC,Tanzania,Y
Aerotours Dominicana,,ATD,Dominican Republic,N
Atlantis Transportation Services,,ATE,ATLANTIS CANADA,N
Aerotrans Airline,,ATG,Kazakhstan,N
Air Charter World,,XAC,United States,N
Air Burkina,2J,VBW,Burkina Faso,Y
Air Travel Corp.,,ATH,United States,N
Aero-Tropics Air Services,HC,ATI,Australia,N
Air Traffic GmbH,,ATJ,Germany,N
AeroTACA,,ATK,Colombia,N
Aerocentral,,ATL,Mexico,N
Airlines Of Tasmania,FO,ATM,Australia,Y
Air Saint Pierre,PJ,SPM,France,Y
Air Transport International,8C,ATN,United States,N
ASTRAL Colombia - Aerotransportes Especiales Ltda.,,ATP,Colombia,N
Air Transport Schiphol,,ATQ,Netherlands,N
Aeroferinco,,FEO,Mexico,N
Aero Taxis Y Servicios Alfe,,FES,Mexico,N
Avialesookhrana,,FFA,Russia,N
Africair Service,,FFB,Senegal,N
Atlas Airlines,,ATR,United States,N
Air Transport Service,,ATS,Democratic Republic of the Congo,N
Aer Turas,,ATT,Ireland,N
Atlant Aerobatics Ltd.,,ATU,Hungary,N
Avanti Air,,ATV,Germany,N
Aero Trades (Western) Ltd.,,ATW,Canada,N
Austrian Airlines,OS,AUA,Austria,Y
Air Southwest,,WOW,United Kingdom,Y
Augsburg Airways,IQ,AUB,Germany,Y
Air Corporate,,CPV,Italy,N
Aviastar-Tu,,TUP,Russia,N
AirBridge Cargo,RU,ABW,Russia,N
ATUR,,TUR,Ecuador,Y
ATESA Aerotaxis Ecuatorianos,,TXU,Ecuador,N
Austin Express,,TXX,United States,N
Audi Air,,AUD,AUDI AIR,N
Augusta Air Luftfahrtunternehmen,,AUF,Germany,N
Abu Dhabi Amiri Flight,MO,AUH,United Arab Emirates,Y
Aeroflot-Nord,5N,AUL,Russia,Y
Air Atlantic Uruguay,,AUM,Uruguay,N
Aviones Unidos,,AUN,Mexico,N
Avia Business Group,,AUP,Russia,N
Aero Servicios Expecializados,,SVE,Mexico,N
Aurigny Air Services,GR,AUR,United Kingdom,Y
Aus-Air,NO,AUS,Australia,N
Austral Lineas Aereas,AU,AUT,Argentina,Y
Aurora Aviation,,AUU,AURORA AIR,N
Air Uganda International Ltd.,,AUX,Uganda,N
Aerolineas Uruguayas,,AUY,AUSA,N
Australian Airlines,AO,AUZ,Australia,N
Avianca - Aerovias Nacionales de Colombia,AV,AVA,AVIANCA,Y
Aviation Beaufort,,AVB,United Kingdom,N
Alamo Aviacion,,AVD,ALAMO,N
Aviair Aviation Ltd.,,AVF,Canada,N
Air Falcon,,AVG,Djibouti,N
AV8 Helicopters,,AVH,United Kingdom,N
Avia Traffic Company,,AVJ,Kyrgyzstan,N
AV8 Helicopters,,AVK,South Africa,N
Aviacion Ejecutiva Mexicana,,AVM,AVEMEX,N
Air Vanuatu,NF,AVN,Vanuatu,Y
Aviation at Work,,AVO,South Africa,N
Avcorp Registrations,,AVP,United Kingdom,N
Alfa Aerospace,,LFP,Australia,N
Atlantic Airfreight Aviation,,LFR,Sao Tome and Principe,N
Aerolift Company,,LFT,Sierra Leone,N
Aviation Services,,AVQ,AQUILINE,N
Active Aero Charter,,AVR,ACTIVE AERO,N
Avialsa T-35,,AVS,Spain,N
Asia Avia Airlines,,AVT,Indonesia,N
Avia Sud A,,AVU,France,N
Airvantage Incorporated,,AVV,United States,N
Aviator Airways,,AVW,Greece,N
Aviapaslauga,,AVX,Lithuania,N
ASL,,XXX,Belgium,N
Air Yugoslavia,,YRG,Serbia,N
Airlink Zambia,K8,ZAK,Zambia,N
Agence Nationale des Aerodromes et de la Meteorologie,,ZZM,Ivory Coast,N
Airbus Transport International,,BGA,France,N
Air Bangladesh,B9,BGD,Bangladesh,Y
Aviodetachment-28,,BGF,Bulgaria,N
Aero BG,,BGG,Mexico,N
Aerotaxis De La Bahia,,BHC,Mexico,N
Air Mediterranee,DR,BIE,France,Y
Aviaservice,,BIV,Georgia,N
Aerolineas De El Salvador,,SZA,El Salvador,N
Swaziland Airlink,,SZL,Swaziland,N
Air Moorea,,TAH,France,Y
Aerovaradero,,AVY,AEROVARADERO,N
Air Valencia,,AVZ,Spain,N
Airways International,,AWB,AIRNAT,N
Airwork,,AWK,New Zealand,N
Australian Wetleasing,,AWL,Australia,N
Air Niamey,,AWN,Niger,N
Awood Air Ltd.,,AWO,Canada,N
Arctic Wings And Rotors Ltd.,,AWR,Canada,N
Auo Airclub AIST-M,,ISM,Russia,N
Arab Wings,,AWS,Jordan,N
Air West,,AWT,Canada,N
Aeroline GmbH,7E,AWU,Germany,Y
Airwave Transport,,AWV,AIRWAVE,N
Air Wales,6G,AWW,United Kingdom,Y
Aeroway,,AWY,AEROWEE,N
Air Caraïbes,TX,FWI,France,Y
AirWest,,AWZ,Sudan,N
Air India Express,IX,AXB,India,Y
Air Express,,AXD,Sudan,N
Asian Express Airlines,HJ,AXF,Australia,N
Aeromexhaga,,AXH,Mexico,N
Aeron International Airlines,,AXI,AIR FREIGHTER,N
African Express Airways,,AXK,Kenya,N
Air Exel,XT,AXL,Netherlands,Y
AirAsia,AK,AXM,Malaysia,Y
Alexandair,,AXN,Greece,N
Aeromax,,AXP,Spain,N
Action Airlines (Action Air Charter),,AXQ,United States,N
Alberni Airways,,BNI,Canada,N
Aerolineas Bonanza,,BNZ,Mexico,N
Aerobona,,BOC,Mexico,N
Aboitiz Air,,BOI,Philippines,N
Axel Rent,,AXR,RENTAXEL,N
Altus Airlines,,AXS,United States,N
Aviaxess,,AXV,France,N
Avioimpex A.D.p.o.,,AXX,Macedonia,N
Axis Airways,6V,AXY,France,N
Aladia Airlines,,AYD,Mexico,N
Aykavia Aircompany,,AYK,Armenia,N
Airman,,AYM,AIRMAN,N
Atlantic Airlines,,AYN,ATLANTIC NICARAGUA,N
Awsaj Aviation Services,,AYS,Libya,N
Ayeet Aviation & Tourism,,AYT,Israel,N
Atlant-Soyuz Airlines,3G,AYZ,Russia,Y
Alitalia,AZ,AZA,Italy,Y
Azamat,,AZB,Kazakhstan,N
Arcus-Air Logistic,ZE,AZE,Germany,N
Air Zermatt AG,,AZF,Switzerland,N
Azalhelikopter,,AZK,Azerbaijan,N
Africa One,,AZL,Zambia,N
Aerocozumel,,AZM,Mexico,N
Amaszonas,Z8,AZN,Bolivia,Y
Arizona Pacific Airways,,AZP,United States,N
Aviacon Zitotrans Air Company,,AZS,Russia,N
Azimut,,AZT,AZIMUT,N
Azov Avia Airlines,,AZV,Ukraine,N
Air Zimbabwe,UM,AZW,Zimbabwe,Y
Aero Jomacha,,MHC,Mexico,N
Air Memphis,,MHS,Egypt,N
Air Memphis,,MHU,Uganda,N
Air Marrakech Service,,MKH,Morocco,N
Air Max Africa,,AZX,Gabon,N
Arizona Airways,,AZY,ARIZAIR,N
Azza Transport,,AZZ,Sudan,N
Air Continental Inc,,NAR,United States,N
Antanik-Air,,NAU,Ukraine,N
Air Newark,,NER,United States,N
Aircraft Support and Services,,NFF,Lebanon,N
Aerobanana,,OBA,Mexico,N
Amako Airlines,,OBK,Nigeria,N
Aserca Airlines,R7,OCA,Venezuela,Y
Afrique CArgo Service Senegal,,NFS,Senegal,N
Angoservice,,NGC,Angola,N
Angel Airlines,,NGE,Thailand,N
Angel Flight America,,NGF,United States,N
Air Atonabee,,OUL,Canada,N
Aero Nova,,OVA,Spain,N
Amira Air,,XPE,Austria,N
